i18n_key,command_id,icon,icon_after,th_now,th_new,en_now,en_new,note
ui.app.map,,globe,,🗺 แผนที่ ({0}),แผนที่ ({0}),🗺 แผนที่ ({0}),แผนที่ ({0}),
ui.app.map2,,globe,,🗺 แผนที่…,แผนที่…,🗺 แผนที่…,แผนที่…,
ui.app.mapReadCant,,globe,,🗺 แผนที่ (อ่านไม่ได้),แผนที่ (อ่านไม่ได้),🗺 แผนที่ (อ่านไม่ได้),แผนที่ (อ่านไม่ได้),
ui.app.mdEditHint,,,,"แก้ไขได้ — กด ""ใช้การแก้ไข"" เพื่อเขียนกลับเข้าเอกสาร (ยังไม่บันทึกลงไฟล์จนกว่าจะกด Ctrl+S)","แก้ไขได้ — กด ""ใช้การแก้ไข"" เพื่อเขียนกลับเข้าเอกสาร","Editable — press ""Apply changes"" to write it back into the document (not saved to disk until Ctrl+S)","Editable — press ""Apply changes"" to write it back into the document",ตัดคีย์ลัดท้าย (ยังไม่บันทึกลงไฟล์จนกว่าจะกด Ctrl+S) — ให้ UI เติมจาก commands.csv
ui.app.modeFocusEscCtrl,,,,โหมดโฟกัส — Esc หรือ Ctrl+Shift+D เพื่อออก,โหมดโฟกัส — Esc หรือ {sc:focus-mode} เพื่อออก,โหมดโฟกัส — Esc หรือ Ctrl+Shift+D เพื่อออก,โหมดโฟกัส — Esc หรือ {sc:focus-mode} เพื่อออก,
ui.app.modeReadPressEsc,,,,โหมดอ่าน — กด Esc หรือคลิก 📖 เพื่อออก,โหมดอ่าน — กด Esc หรือคลิก 📖 เพื่อออก,โหมดอ่าน — กด Esc หรือคลิก 📖 เพื่อออก,โหมดอ่าน — กด Esc หรือคลิก 📖 เพื่อออก,ไอคอน 📖 อยู่กลางประโยค — ต้องเขียนประโยคใหม่
ui.app.moveBackInChapter,,return,,↩ ย้ายกลับเข้าบท…,ย้ายกลับเข้าบท…,↩ ย้ายกลับเข้าบท…,ย้ายกลับเข้าบท…,
ui.app.moveChapter,,,chevron-right,ย้ายไปบท ▸,ย้ายไปบท,ย้ายไปบท ▸,ย้ายไปบท,
ui.app.moveOutMEMO,,note,,📝 ย้ายออกไปที่ MEMO,ย้ายออกไปที่ MEMO,📝 ย้ายออกไปที่ MEMO,ย้ายออกไปที่ MEMO,
ui.app.newCatNew,,plus,,➕ สร้างหมวดใหม่,สร้างหมวดใหม่,➕ สร้างหมวดใหม่,สร้างหมวดใหม่,
ui.app.newRelationBetween,,link,,"🔗 สร้างความสัมพันธ์ ""{0}"" ระหว่าง {1} ↔ {2}","สร้างความสัมพันธ์ ""{0}"" ระหว่าง {1} ↔ {2}","🔗 สร้างความสัมพันธ์ ""{0}"" ระหว่าง {1} ↔ {2}","สร้างความสัมพันธ์ ""{0}"" ระหว่าง {1} ↔ {2}",
ui.app.notFoundErrorChapter,,check-circle,,✅ ไม่พบข้อผิดพลาดในบทนี้,ไม่พบข้อผิดพลาดในบทนี้,✅ ไม่พบข้อผิดพลาดในบทนี้,ไม่พบข้อผิดพลาดในบทนี้,
ui.app.notRememberFoundNot,,,,ยังไม่จำ (เจอไม่ถึง {0} ครั้ง) — กด ✚ เพื่อจำเลย,ยังไม่จำ (เจอไม่ถึง {0} ครั้ง) — กด ✚ เพื่อจำเลย,ยังไม่จำ (เจอไม่ถึง {0} ครั้ง) — กด ✚ เพื่อจำเลย,ยังไม่จำ (เจอไม่ถึง {0} ครั้ง) — กด ✚ เพื่อจำเลย,ไอคอน ✚ อยู่กลางประโยค — ต้องเขียนประโยคใหม่
ui.app.notSave,,hourglass,,⏳ ยังไม่บันทึก,ยังไม่บันทึก,⏳ ยังไม่บันทึก,ยังไม่บันทึก,
ui.app.novel2,,,chevron-down, นิยาย ▾, นิยาย, นิยาย ▾, นิยาย,
ui.app.open,,note,,📝 เปิด,เปิด,📝 เปิด,เปิด,
ui.app.openApp,,folder-open,,📂 เปิดในโปรแกรม,เปิดในโปรแกรม,📂 เปิดในโปรแกรม,เปิดในโปรแกรม,
ui.app.openCompareRight,,swap,,⇋ เปิดเทียบด้านขวา,เปิดเทียบด้านขวา,⇋ เปิดเทียบด้านขวา,เปิดเทียบด้านขวา,
ui.app.openFolder,,folder-open,,📂 เปิดในโฟลเดอร์,เปิดในโฟลเดอร์,📂 เปิดในโฟลเดอร์,เปิดในโฟลเดอร์,
ui.app.openFolderDone,,folder-open,,📂 เปิดโฟลเดอร์แล้ว: ,เปิดโฟลเดอร์แล้ว:,📂 เปิดโฟลเดอร์แล้ว: ,เปิดโฟลเดอร์แล้ว:,
ui.app.openGraphBreakBranch,,branch,,🌿 เปิดผังแตกสาย,เปิดผังแตกสาย,🌿 เปิดผังแตกสาย,เปิดผังแตกสาย,
ui.app.openLibraryImage,,image,,🖼 เปิดคลังรูป,เปิดคลังรูป,🖼 เปิดคลังรูป,เปิดคลังรูป,
ui.app.openMapsJson,,file,,📄 เปิด maps.json,เปิด maps.json,📄 เปิด maps.json,เปิด maps.json,
ui.app.openPanelMap,,globe,,🗺 เปิดแผงแผนที่,เปิดแผงแผนที่,🗺 เปิดแผงแผนที่,เปิดแผงแผนที่,
ui.app.openPlanner,,clipboard,,📋 เปิด Planner,เปิด Planner,📋 เปิด Planner,เปิด Planner,
ui.app.pickFolderTo,,folder-open,,📂 เลือกโฟลเดอร์ปลายทาง,เลือกโฟลเดอร์ปลายทาง,📂 เลือกโฟลเดอร์ปลายทาง,เลือกโฟลเดอร์ปลายทาง,
ui.app.pinOut,,star-outline,,☆ เอาหมุดออก,เอาหมุดออก,☆ เอาหมุดออก,เอาหมุดออก,
ui.app.pinPin,,star,,⭐ ปักหมุด,ปักหมุด,⭐ ปักหมุด,ปักหมุด,
ui.app.printJavaScriptDonePress,,,,พิมพ์ JavaScript แล้วกด Ctrl+Enter เพื่อรัน · ใช้ตัวแปร k2 เข้าถึงของในโปรแกรม ,พิมพ์ JavaScript แล้วกด Ctrl+Enter เพื่อรัน · ใช้ตัวแปร k2 เข้าถึงของในโปรแกรม,พิมพ์ JavaScript แล้วกด Ctrl+Enter เพื่อรัน · ใช้ตัวแปร k2 เข้าถึงของในโปรแกรม ,พิมพ์ JavaScript แล้วกด Ctrl+Enter เพื่อรัน · ใช้ตัวแปร k2 เข้าถึงของในโปรแกรม,คีย์ลัด Ctrl+Enter ในประโยค — หาคำสั่งที่ตรงไม่เจอ
ui.app.propsPlan,,cog,,⚙ คุณสมบัติแผน…,คุณสมบัติแผน…,⚙ คุณสมบัติแผน…,คุณสมบัติแผน…,
ui.app.remember,,return,,↩ เลิกจำเอง,เลิกจำเอง,↩ เลิกจำเอง,เลิกจำเอง,
ui.app.remember2,,plus-plain,,✚ จำ,จำ,✚ จำ,จำ,
ui.app.rememberTimes,,return,,↩ จำอีกครั้ง,จำอีกครั้ง,↩ จำอีกครั้ง,จำอีกครั้ง,
ui.app.report2,,group,,👥 รายงานตัวละคร,รายงานตัวละคร,👥 รายงานตัวละคร,รายงานตัวละคร,
ui.app.reportPlace2,,map,,📍 รายงานสถานที่,รายงานสถานที่,📍 รายงานสถานที่,รายงานสถานที่,
ui.app.restoreTab2,,expand,,⤢ คืนเป็นแท็บ,คืนเป็นแท็บ,⤢ คืนเป็นแท็บ,คืนเป็นแท็บ,
ui.app.save,,save,,💾 บันทึก,บันทึก,💾 บันทึก,บันทึก,
ui.app.saveFile,,save,,💾 บันทึกเป็นไฟล์…,บันทึกเป็นไฟล์…,💾 บันทึกเป็นไฟล์…,บันทึกเป็นไฟล์…,
ui.app.saveLatestLog,,log,,📜 บันทึกล่าสุด (log),บันทึกล่าสุด (log),📜 บันทึกล่าสุด (log),บันทึกล่าสุด (log),
ui.app.saveVersion,,camera,,📸 บันทึกเวอร์ชันนี้,บันทึกเวอร์ชันนี้,📸 บันทึกเวอร์ชันนี้,บันทึกเวอร์ชันนี้,
ui.app.scroll2,,chevron-up,,▲ เลื่อนขึ้น,เลื่อนขึ้น,▲ เลื่อนขึ้น,เลื่อนขึ้น,
ui.app.scroll3,,chevron-down,,▼ เลื่อนลง,เลื่อนลง,▼ เลื่อนลง,เลื่อนลง,
ui.app.searchOnlyChapter2,,search,,🔍 ค้นเฉพาะในบทนี้,ค้นเฉพาะในบทนี้,🔍 ค้นเฉพาะในบทนี้,ค้นเฉพาะในบทนี้,
ui.app.searchSave,,search,,🔍 ค้นในบันทึก,ค้นในบันทึก,🔍 ค้นในบันทึก,ค้นในบันทึก,
ui.app.setCat,,folder,,📁 ตั้งหมวด…,ตั้งหมวด…,📁 ตั้งหมวด…,ตั้งหมวด…,
ui.app.splitWindowFloat,,window,,🪟 แยกเป็นหน้าต่างลอย,แยกเป็นหน้าต่างลอย,🪟 แยกเป็นหน้าต่างลอย,แยกเป็นหน้าต่างลอย,
ui.app.status,,,chevron-right,สถานะ ▸,สถานะ,สถานะ ▸,สถานะ,
